118580,1.5565,0.004�
0,0.0000,0.0000,0
1,0.0000,2.1545,7232
3,0.0000,1.9237,0
5,0.0000,1.9237,0
7,0.0000,1.7260,6241
9,0.0000,1.5566,5849
11,0.0000,1.5566,5849
13,0.0000,1.4114,5513
15,0.0000,1.2871,5226
17,0.0000,1.2871,5226
19,0.0000,1.1806,4980
21,0.0000,1.0894,4769
23,0.0000,1.0894,4769
25,0.0000,1.0113,4588
27,0.0000,0.9443,4433
29,0.0000,0.9443,4433
31,0.0000,0.8870,4301
33,0.0000,0.8378,4187
36,0.0000,0.8378,4187
38,0.0071,0.7693,4028
40,0.0071,0.7367,3953
42,0.0071,0.7367,3953
44,0.0143,0.6822,3827
46,0.0143,0.6617,3780
48,0.0214,0.6177,3678
50,0.0214,0.6177,3678
52,0.0214,0.6061,3651
54,0.0286,0.5697,3567
56,0.0286,0.5697,3567
58,0.0357,0.5382,3494
60,0.0428,0.5108,3431
63,0.0428,0.5108,3431
65,0.0428,0.5134,3437
67,0.0500,0.4892,3381
69,0.0571,0.4682,3332
71,0.0571,0.4682,3332
73,0.0643,0.4498,3290
75,0.0714,0.4336,3252
77,0.0714,0.4336,3252
79,0.0785,0.4195,3219
81,0.0857,0.4070,3191
83,0.0857,0.4070,3191
85,0.0928,0.3959,3165
87,0.1000,0.3861,3142
90,0.1000,0.3861,3142
92,0.1071,0.3773,3122
94,0.1142,0.3694,3104
96,0.1214,0.3623,3087
98,0.1214,0.3623,3087
100,0.1285,0.3559,3073
102,0.1428,0.3236,2998
104,0.1428,0.3236,2998
106,0.1499,0.3216,2993
109,0.1571,0.3196,2989
111,0.1642,0.3175,2984
113,0.1642,0.3175,2984
115,0.1714,0.3154,2979
117,0.1785,0.3132,2974
119,0.1785,0.3132,2974
122,0.1928,0.2845,2907
124,0.1999,0.2857,2910
126,0.2071,0.2863,2912
128,0.2071,0.2863,2912
130,0.2213,0.2601,2851
132,0.2285,0.2633,2858
135,0.2285,0.2633,2858
137,0.2356,0.2658,2864
139,0.2428,0.2675,2868
141,0.2570,0.2422,2810
143,0.2570,0.2422,2810
145,0.2642,0.2462,2819
148,0.2785,0.2229,2765
150,0.2856,0.2286,2778
152,0.2856,0.2286,2778
154,0.2927,0.2332,2789
156,0.3070,0.2103,2736
158,0.3070,0.2103,2736
161,0.3142,0.2164,2750
163,0.3284,0.1949,2700
165,0.3356,0.2022,2717
167,0.3356,0.2022,2717
169,0.3427,0.2080,2731
171,0.3570,0.1863,2680
174,0.3570,0.1863,2680
176,0.3641,0.1934,2697
178,0.3784,0.1726,2649
180,0.3856,0.1806,2667
182,0.3856,0.1806,2667
184,0.3998,0.1606,2621
187,0.4070,0.1693,2641
189,0.4213,0.1499,2596
191,0.4213,0.1499,2596
193,0.4284,0.1590,2617
195,0.4427,0.1400,2573
197,0.4427,0.1400,2573
200,0.4498,0.1495,2595
202,0.4570,0.1572,2613
204,0.4712,0.1371,2566
206,0.4712,0.1371,2566
208,0.4784,0.1456,2586
210,0.4927,0.1260,2541
213,0.4927,0.1260,2541
215,0.4998,0.1350,2562
217,0.5141,0.1159,2517
219,0.5212,0.1253,2539
221,0.5212,0.1253,2539
223,0.5355,0.1065,2496
226,0.5426,0.1162,2518
228,0.5569,0.0976,2475
230,0.5569,0.0976,2475
232,0.5712,0.0810,2437
234,0.5783,0.0926,2464
236,0.5783,0.0926,2464
239,0.5926,0.0756,2424
241,0.5998,0.0869,2450
243,0.6140,0.0697,2411
245,0.6140,0.0697,2411
247,0.6212,0.0808,2436
249,0.6355,0.0634,2396
252,0.6355,0.0634,2396
254,0.6426,0.0743,2421
